"",gene_set,over_represented_pvalue,under_represented_pvalue,numSIGInCat,numInCat,SIGgene_ensembl,SIGgene_symbol,All_gene_ensembl,All_gene_symbol,Ave_value_all_gene
"3635",GO_REGULATION_OF_EMBRYONIC_DEVELOPMENT,0.938112352562281,0.10864785297003,11,90,ENSG00000060237|ENSG00000062485|ENSG00000078018|ENSG00000105699|ENSG00000107404|ENSG00000153827|ENSG00000163389|ENSG00000173402|ENSG00000181090|ENSG00000204628|ENSG00000213930,WNK1|CS|MAP2|LSR|DVL1|TRIP12|POGLUT1|DAG1|EHMT1|RACK1|GALT,ENSG00000002834|ENSG00000004975|ENSG00000007168|ENSG00000010361|ENSG00000011143|ENSG00000017427|ENSG00000019144|ENSG00000042832|ENSG00000047457|ENSG00000053747|ENSG00000060237|ENSG00000062485|ENSG00000072062|ENSG00000072133|ENSG00000074054|ENSG00000075275|ENSG00000077782|ENSG00000078018|ENSG00000078246|ENSG00000100625|ENSG00000101109|ENSG00000101144|ENSG00000103876|ENSG00000104290|ENSG00000104375|ENSG00000105699|ENSG00000107404|ENSG00000107779|ENSG00000107882|ENSG00000112655|ENSG00000113971|ENSG00000116044|ENSG00000117597|ENSG00000118707|ENSG00000119396|ENSG00000120370|ENSG00000121481|ENSG00000122965|ENSG00000126016|ENSG00000130702|ENSG00000131323|ENSG00000133116|ENSG00000136689|ENSG00000137154|ENSG00000137764|ENSG00000138802|ENSG00000139372|ENSG00000140807|ENSG00000142875|ENSG00000143147|ENSG00000143951|ENSG00000144824|ENSG00000148400|ENSG00000151014|ENSG00000153827|ENSG00000155827|ENSG00000158055|ENSG00000161202|ENSG00000161800|ENSG00000162738|ENSG00000163389|ENSG00000163539|ENSG00000164190|ENSG00000165730|ENSG00000166278|ENSG00000166484|ENSG00000167967|ENSG00000168036|ENSG00000168621|ENSG00000169083|ENSG00000170312|ENSG00000170835|ENSG00000171105|ENSG00000173402|ENSG00000173599|ENSG00000173992|ENSG00000174953|ENSG00000179348|ENSG00000179820|ENSG00000181090|ENSG00000182621|ENSG00000186575|ENSG00000196712|ENSG00000197971|ENSG00000198125|ENSG00000198728|ENSG00000204104|ENSG00000204463|ENSG00000204628|ENSG00000213930,LASP1|DVL2|PAFAH1B1|FUZ|MKS1|IGF1|PHLDB1|TG|CP|LAMA3|WNK1|CS|PRKACA|RPS6KA6|CLASP1|CELSR1|FGFR1|MAP2|TULP3|SIX4|STK4|BMP7|FAH|FZD3|STK3|LSR|DVL1|BMPR1A|SUFU|PTK7|NPHP3|NFE2L2|UTP25|TGIF2|RAB14|GORAB|RNF2|RBM19|AMOT|LAMA5|TRAF3|KL|IL1RN|RPS6|MAP2K5|SEC24B|TDG|NKD1|PRKACB|GPR161|WDPCP|PHLDB2|NOTCH1|NOCT|TRIP12|RNF20|GRHL3|DVL3|RACGAP1|VANGL2|POGLUT1|CLASP2|NIPBL|STOX1|C2|MAPK7|E4F1|CTNNB1|GDNF|AR|CDK1|CEL|INSR|DAG1|PC|CCS|DHX36|GATA2|MYADM|EHMT1|PLCB1|NF2|NF1|MBP|MB|LDB1|TRAF3IP1|BAG6|RACK1|GALT,5.24444444444444
"3636",GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING,0.938149416566963,0.250008836244332,1,16,ENSG00000126088,UROD,ENSG00000017427|ENSG00000042832|ENSG00000100393|ENSG00000116288|ENSG00000126088|ENSG00000133116|ENSG00000137947|ENSG00000139687|ENSG00000143799|ENSG00000168036|ENSG00000169083|ENSG00000174197|ENSG00000175104|ENSG00000182149|ENSG00000198171|ENSG00000198814,IGF1|TG|EP300|PARK7|UROD|KL|GTF2B|RB1|PARP1|CTNNB1|AR|MGA|TRAF6|IST1|DDRGK1|GK,4.3125
"3637",GO_STEREOCILIUM_BUNDLE,0.938189126915207,0.145368891426083,4,38,ENSG00000103942|ENSG00000115459|ENSG00000125863|ENSG00000155366,HOMER2|ELMOD3|MKKS|RHOC,ENSG00000007168|ENSG00000028203|ENSG00000033867|ENSG00000039068|ENSG00000047410|ENSG00000047457|ENSG00000079335|ENSG00000079385|ENSG00000081923|ENSG00000091536|ENSG00000095397|ENSG00000103876|ENSG00000103942|ENSG00000109062|ENSG00000109083|ENSG00000111913|ENSG00000115459|ENSG00000125124|ENSG00000125863|ENSG00000127948|ENSG00000128512|ENSG00000132383|ENSG00000136425|ENSG00000137478|ENSG00000137710|ENSG00000155366|ENSG00000156453|ENSG00000164199|ENSG00000165091|ENSG00000166278|ENSG00000169083|ENSG00000171160|ENSG00000173599|ENSG00000174233|ENSG00000177106|ENSG00000186765|ENSG00000197879|ENSG00000247596,PAFAH1B1|VEZT|SLC4A7|CDH1|TPR|CP|CDC14A|CEACAM1|ATP8B1|MYO15A|WHRN|FAH|HOMER2|SLC9A3R1|IFT20|RIPOR2|ELMOD3|BBS2|MKKS|POR|DOCK4|RPA1|CIB2|FCHSD2|RDX|RHOC|PCDH1|ADGRV1|TMC1|C2|AR|MORN4|PC|ADCY6|EPS8L2|FSCN2|MYO1C|TWF2,5.52631578947368
"3638",GO_REGULATION_OF_OXIDATIVE_PHOSPHORYLATION,0.938199266827414,0.185863766355515,2,26,ENSG00000112695|ENSG00000137288,COX7A2|UQCC2,ENSG00000009950|ENSG00000047457|ENSG00000067560|ENSG00000075415|ENSG00000102144|ENSG00000102580|ENSG00000108179|ENSG00000108788|ENSG00000112695|ENSG00000115944|ENSG00000116288|ENSG00000120675|ENSG00000125648|ENSG00000134057|ENSG00000136770|ENSG00000137288|ENSG00000158828|ENSG00000165240|ENSG00000165280|ENSG00000166278|ENSG00000169083|ENSG00000170312|ENSG00000171612|ENSG00000175727|ENSG00000182199|ENSG00000198814,MLXIPL|CP|RHOA|SLC25A3|PGK1|DNAJC3|PPIF|MLX|COX7A2|COX7A2L|PARK7|DNAJC15|SLC25A23|CCNB1|DNAJC1|UQCC2|PINK1|ATP7A|VCP|C2|AR|CDK1|SLC25A33|MLXIP|SHMT2|GK,4.26923076923077
"3639",GO_9PLUS0_NON_MOTILE_CILIUM,0.93826378761562,0.126779538439142,6,61,ENSG00000122126|ENSG00000125388|ENSG00000135951|ENSG00000157796|ENSG00000180376|ENSG00000197535,OCRL|GRK4|TSGA10|WDR19|CCDC66|MYO5A,ENSG00000039068|ENSG00000040199|ENSG00000042832|ENSG00000047410|ENSG00000054277|ENSG00000069974|ENSG00000071127|ENSG00000075945|ENSG00000078246|ENSG00000078369|ENSG00000081913|ENSG00000095397|ENSG00000101052|ENSG00000103494|ENSG00000108061|ENSG00000108091|ENSG00000109083|ENSG00000111837|ENSG00000114446|ENSG00000117245|ENSG00000122126|ENSG00000124587|ENSG00000125388|ENSG00000127948|ENSG00000131697|ENSG00000131711|ENSG00000133116|ENSG00000135951|ENSG00000136425|ENSG00000137574|ENSG00000137877|ENSG00000138175|ENSG00000138686|ENSG00000140463|ENSG00000144061|ENSG00000145012|ENSG00000145220|ENSG00000145362|ENSG00000152894|ENSG00000153208|ENSG00000155974|ENSG00000156313|ENSG00000156453|ENSG00000157796|ENSG00000160226|ENSG00000162105|ENSG00000162496|ENSG00000163913|ENSG00000166278|ENSG00000169083|ENSG00000170011|ENSG00000170264|ENSG00000171428|ENSG00000173226|ENSG00000173599|ENSG00000180376|ENSG00000185974|ENSG00000187535|ENSG00000197535|ENSG00000198515|ENSG00000198707,CDH1|PHLPP2|TG|TPR|OPN3|RAB27A|WDR1|KIFAP3|TULP3|GNB1|PHLPP1|WHRN|IFT52|RPGRIP1L|SHOC2|CCDC6|IFT20|MAK|IFT57|KIF17|OCRL|PEX6|GRK4|POR|NPHP4|MAP1B|KL|TSGA10|CIB2|TGS1|SPTBN5|ARL3|BBS7|BBS4|NPHP1|LPP|LYAR|ANK2|PTPRK|MERTK|GRIP1|RPGR|PCDH1|WDR19|CFAP410|SHANK2|DHRS3|IFT122|C2|AR|MYRIP|FAM161A|NAT1|IQCB1|PC|CCDC66|GRK1|IFT140|MYO5A|CNGA1|CEP290,4.27868852459016
"3640",GO_AMMONIUM_ION_METABOLIC_PROCESS,0.938300356359621,0.144303725364733,4,42,ENSG00000032444|ENSG00000123739|ENSG00000143797|ENSG00000184381,PNPLA6|PLA2G12A|MBOAT2|PLA2G6,ENSG00000007168|ENSG00000032444|ENSG00000047457|ENSG00000065154|ENSG00000100439|ENSG00000103056|ENSG00000103876|ENSG00000110721|ENSG00000111684|ENSG00000114200|ENSG00000121691|ENSG00000123739|ENSG00000127472|ENSG00000132669|ENSG00000135241|ENSG00000135587|ENSG00000135838|ENSG00000137055|ENSG00000143797|ENSG00000145545|ENSG00000146070|ENSG00000147155|ENSG00000153395|ENSG00000155368|ENSG00000158201|ENSG00000159337|ENSG00000165240|ENSG00000166311|ENSG00000168907|ENSG00000169057|ENSG00000173599|ENSG00000176454|ENSG00000176485|ENSG00000183826|ENSG00000184381|ENSG00000188257|ENSG00000188603|ENSG00000196712|ENSG00000198125|ENSG00000198805|ENSG00000213398|ENSG00000243708,PAFAH1B1|PNPLA6|CP|OAT|ABHD4|SMPD3|FAH|CHKA|LPCAT3|BCHE|CAT|PLA2G12A|PLA2G5|RIN2|PNPLA8|SMPD2|NPL|PLAA|MBOAT2|SRD5A1|PLA2G7|EBP|LPCAT1|DBI|ABHD3|PLA2G4D|ATP7A|SMPD1|PLA2G4F|MECP2|PC|LPCAT4|PLAAT3|BTBD9|PLA2G6|PLA2G2A|CLN3|NF1|MB|PNP|LCAT|PLA2G4B,4.73809523809524
"3641",GO_RNA_POLYMERASE_I_PREINITIATION_COMPLEX_ASSEMBLY,0.938378855232832,0.257199715103336,1,11,ENSG00000099956,SMARCB1,ENSG00000076108|ENSG00000085721|ENSG00000099956|ENSG00000103168|ENSG00000104872|ENSG00000108312|ENSG00000115750|ENSG00000127616|ENSG00000137054|ENSG00000147133|ENSG00000169083,BAZ2A|RRN3|SMARCB1|TAF1C|PIH1D1|UBTF|TAF1B|SMARCA4|POLR1E|TAF1|AR,6.54545454545455
"3642",GO_PROTON_TRANSPORTING_TWO_SECTOR_ATPASE_COMPLEX,0.938500525628287,0.157422127631688,3,41,ENSG00000165629|ENSG00000173915|ENSG00000205464,ATP5F1C|ATP5MD|ATP6AP1L,ENSG00000033627|ENSG00000047249|ENSG00000071553|ENSG00000100554|ENSG00000105341|ENSG00000108179|ENSG00000110719|ENSG00000110955|ENSG00000113732|ENSG00000114573|ENSG00000116039|ENSG00000116459|ENSG00000117410|ENSG00000125375|ENSG00000128524|ENSG00000131100|ENSG00000135390|ENSG00000136710|ENSG00000136888|ENSG00000143882|ENSG00000147416|ENSG00000152234|ENSG00000154518|ENSG00000154723|ENSG00000156411|ENSG00000159199|ENSG00000159720|ENSG00000165629|ENSG00000166278|ENSG00000167283|ENSG00000167863|ENSG00000169020|ENSG00000169083|ENSG00000171130|ENSG00000173915|ENSG00000185344|ENSG00000205464|ENSG00000241468|ENSG00000241837|ENSG00000244045|ENSG00000250565,ATP6V0A1|ATP6V1H|ATP6AP1|ATP6V1D|DMAC2|PPIF|TCIRG1|ATP5F1B|ATP6V0E1|ATP6V1A|ATP6V1B1|ATP5PB|ATP6V0B|DMAC2L|ATP6V1F|ATP6V1E1|ATP5MC2|CCDC115|ATP6V1G1|ATP6V1C2|ATP6V1B2|ATP5F1A|ATP5MC3|ATP5PF|ATP5MPL|ATP5MC1|ATP6V0D1|ATP5F1C|C2|ATP5MG|ATP5PD|ATP5ME|AR|ATP6V0E2|ATP5MD|ATP6V0A2|ATP6AP1L|ATP5MF|ATP5PO|TMEM199|ATP6V1E2,3.58536585365854
"3643",GO_VESICLE_DOCKING_INVOLVED_IN_EXOCYTOSIS,0.938546349168612,0.15948189586105,3,32,ENSG00000100568|ENSG00000104164|ENSG00000106636,VTI1B|BLOC1S6|YKT6,ENSG00000047457|ENSG00000076944|ENSG00000084733|ENSG00000092108|ENSG00000100219|ENSG00000100568|ENSG00000104142|ENSG00000104164|ENSG00000105514|ENSG00000105649|ENSG00000106089|ENSG00000106636|ENSG00000116266|ENSG00000136631|ENSG00000136854|ENSG00000136933|ENSG00000137501|ENSG00000138190|ENSG00000139719|ENSG00000139998|ENSG00000144036|ENSG00000144118|ENSG00000160695|ENSG00000166128|ENSG00000166900|ENSG00000167461|ENSG00000169213|ENSG00000175029|ENSG00000177380|ENSG00000182326|ENSG00000184056|ENSG00000198722,CP|STXBP2|RAB10|SCFD1|XBP1|VTI1B|VPS18|BLOC1S6|RAB3D|RAB3A|STX1A|YKT6|STXBP3|VPS45|STXBP1|RABEPK|SYTL2|EXOC6|VPS33A|RAB15|EXOC6B|RALB|VPS11|RAB8B|STX3|RAB8A|RAB3B|CTBP2|PPFIA3|C1S|VPS33B|UNC13B,5
"3644",GO_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY,0.938554761994626,0.184235618390064,2,28,ENSG00000111679|ENSG00000185896,PTPN6|LAMP1,ENSG00000010278|ENSG00000069974|ENSG00000073008|ENSG00000079385|ENSG00000084774|ENSG00000111679|ENSG00000113141|ENSG00000117450|ENSG00000124333|ENSG00000133116|ENSG00000137710|ENSG00000139687|ENSG00000141480|ENSG00000143669|ENSG00000147155|ENSG00000166278|ENSG00000166402|ENSG00000166747|ENSG00000167193|ENSG00000169083|ENSG00000170315|ENSG00000173757|ENSG00000182985|ENSG00000185896|ENSG00000188229|ENSG00000198125|ENSG00000203722|ENSG00000204642,CD9|RAB27A|PVR|CEACAM1|CAD|PTPN6|IK|PRDX1|VAMP7|KL|RDX|RB1|ARRB2|LYST|EBP|C2|TUB|AP1G1|CRK|AR|UBB|STAT5B|CADM1|LAMP1|TUBB4B|MB|RAET1G|HLA-F,4.07142857142857
